vendorID,lpepPickupDatetime,passengerCount,tripDistance,pickupLongitude,pickupLatitude,dropoffLongitude,dropoffLatitude,totalAmount
2,1420158232,1,2.06,-73.9441452,40.81459045,-73.91747284,40.83778381,10.8
2,1420157467,2,2.75,-73.91268158,40.75602341,-73.86286163,40.75375366,14.8
2,1420157911,1,1.41,-73.90261078,40.84863663,-73.91840363,40.83935547,8.3
1,1420160394,1,5.8,-73.8959198,40.73663712,-73.98265076,40.75555038,22.8
1,1420160387,1,2.2,-73.95493317,40.69468689,-73.95341492,40.68117905,15.3
1,1420160374,1,1.7,-73.95655823,40.72094727,-73.94160461,40.70829391,10.55
1,1420160300,1,0.6,-73.89595795,40.74847031,-73.88812256,40.74349594,5.8
1,1420160255,1,1.4,-73.86275482,40.74995422,-73.88312531,40.75588989,8.8
2,1420149917,1,1.36,-73.95223999,40.82397079,-73.94009399,40.84122849,8.3
2,1420150016,1,0.98,-73.94690704,40.81612778,-73.95599365,40.80371094,7.8
2,1420149989,1,1.12,-73.96582031,40.6934967,-73.98181152,40.68997574,7.3
2,1420149860,1,1.39,-73.95587158,40.70769119,-73.94436646,40.70016861,8.3
2,1420149795,1,3.18,-73.94706726,40.83096313,-73.92454529,40.86647034,12.3
2,1420149762,1,1.78,-73.92696381,40.76266479,-73.90471649,40.77190399,11.6
2,1420149891,1,2.21,-73.93218231,40.79555511,-73.95136261,40.77018356,11.3
2,1420150059,5,1.16,-73.95375824,40.8065834,-73.93929291,40.81092834,7.8
2,1420149923,1,1.38,-73.94137573,40.68428421,-73.94786835,40.67326736,10.4
2,1420150132,2,1.06,-73.97679901,40.6818428,-73.98679352,40.66862488,9.25
2,1420150010,1,1.31,-73.88996124,40.74700165,-73.88063049,40.75978851,8.3
2,1420150286,1,0.53,-73.95604706,40.71394348,-73.96354675,40.71871567,5.3
2,1420149869,1,2.62,-73.96724701,40.6813736,-73.94036102,40.66393661,12.3
2,1420150123,1,0.39,-73.88287354,40.74284744,-73.88243103,40.74526596,5.3
2,1420150199,1,1.54,-73.94947815,40.80191803,-73.94976807,40.78543091,9.2
2,1420149970,1,2.47,-73.94164276,40.83758545,-73.93032074,40.86636353,10.8
2,1420150146,1,0.92,-73.95366669,40.79092407,-73.94438934,40.78488159,7.8
2,1420149783,1,3.04,-73.9911499,40.67783356,-73.95123291,40.65777969,17.5
2,1420150305,1,1,-73.91905212,40.70449066,-73.9043808,40.70082855,6.3
2,1420149820,1,2.25,-73.95788574,40.72180557,-73.95900726,40.69427872,11.3
2,1420150144,1,1.85,-73.80760193,40.70026016,-73.78443909,40.68992233,9.3
2,1420150098,1,1.87,-73.98395538,40.67778778,-73.99783325,40.68729782,9.8
2,1420149955,5,1.98,-73.88040924,40.74150085,-73.85653687,40.74742126,10.8
2,1420149824,1,2.27,-73.94081116,40.8191185,-73.96559143,40.8004837,12.3
